jurisdiction,issuing_body,source_collection,document_title,document_type,file_format,page_count,source_url,retrieval_date,sha256,notes,license_tier,license_name,license_url,attribution_required,confidence_level,caveats,needs_legal_review,applies_per_doc_review
Australia,Australian Prudential Regulation Authority (APRA),APRA,CPS 234 Information Security,Prudential Standard,PDF,8,,2026-05-24,ddcef7b1f5780c26a7e79ecfb35ce41bee8b65f78a8cdb605c7508c2f604bee5,title:filename; type:filename,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,Final-Regulatory-Impact-Statement-Risk-Management-RIS-(January-2014) 0,Regulation Impact Statement,PDF,24,,2026-05-24,4ae567ed8cad8993152e9963c94b59e2bdab08bb9019ccf8680b0d229e1b0928,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,Final-Regulatory-Impact-Statement-Risk-Management-RIS-(January-2014) 0,Regulation Impact Statement,PDF,24,,2026-05-24,4ae567ed8cad8993152e9963c94b59e2bdab08bb9019ccf8680b0d229e1b0928,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,Liquidity RIS,Regulation Impact Statement,PDF,23,,2026-05-24,40d5063ceab9b5899d69bb983b996049dc76b255101f5f09a1a947dc85d98cad,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,Liquidity RIS,Regulation Impact Statement,PDF,23,,2026-05-24,40d5063ceab9b5899d69bb983b996049dc76b255101f5f09a1a947dc85d98cad,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,RIS20NSFR 0,Regulation Impact Statement,PDF,32,,2026-05-24,18f540e095652fbc63cc3570e92848d9488a5a617be89bbfd71b3a478a042597,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,Regulation-Impact-Statement-LAGIC,Regulation Impact Statement,PDF,30,,2026-05-24,f7e936fc73f546fdff8c2164568eb718c37510932a4a543d18f562b2a2eb2937,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,Regulation20Analysis20Revisions20the20Exposures Framework,Regulation Impact Statement,PDF,8,,2026-05-24,07a86502444e45ecb22ed624442c9c69727425ff3da8a2a49c417f318aeea2de,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,Revocation20Prudential20APS20and20Standard20150)20II Transi,Regulation Impact Statement,PDF,7,,2026-05-24,f103fca2f306580f63a9dcc00abe563f07fbc6dcfd7999827b81862e1cca7f5e,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,Securitisation-RIS 0,Regulation Impact Statement,PDF,10,,2026-05-24,6673e033489031a63e2baf8eda1aa3a01ee28bf75c308c20e451fa0f7e42d7ee,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,September-2012-Basel-III-capital-regulation-impact-statement,Regulation Impact Statement,PDF,15,,2026-05-24,9690a944f42f595622aced5ddbf7f52d8a3680621cc14a6abaa7c65b8afd4264,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,Superannuation-Reporting-Standards-RIS,Regulation Impact Statement,PDF,18,,2026-05-24,66d049e24f0863dac1a28bf70119d60cc6e2fcbbc0f6230278677025fa1cb6d6,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Prudential Regulation Authority (APRA),APRA,ris operational risk information security,Regulation Impact Statement,PDF,6,,2026-05-24,a1d8ffebb2187dbb43ac3290de6fc1c8694c8203e276b37e6503a11002c7d549,title:filename; type:header,Tier 1,CC BY 4.0,https://www.apra.gov.au/copyright,yes — © Australian Prudential Regulation Authority 2024,clear,Commonwealth Coat of Arms excluded from CC BY licence; APRA and APRA Connect logos excluded; Third-party material protected by IP law excluded — separate permission required from copyright holder,FALSE,FALSE
Australia,Australian Securities and Investments Commission (ASIC),ASIC,Attachment CP 381 Draft Updated INFO225,Consultation Paper,PDF,32,,2026-05-24,02053ca253dedfc4887c7c16487054504e2db9c061cfcb2641a41e97169ab920,title:filename; type:header,Tier 1,CC BY 4.0,https://asic.gov.au/copyright,yes — © Australian Securities & Investments Commission: Reproduced with permission.,clear,"Applies only to the 10 specified document classes: regulatory guides, information sheets, reports, consultation papers, media releases, legislative instruments, pro forma documents, ASIC forms (without logo), annual reports, and short selling position data; ASIC logo, design, and formatting excluded from licence — express approval required; Unclaimed Money pages excluded (personal use only); Certain ASIC Digest sections (executive summaries, indexes) excluded; Thomson Reuters co-published materials subject to separate IP rights",FALSE,FALSE
Australia,Australian Securities and Investments Commission (ASIC),ASIC,CP 343 Crypto Assets ETPs,Consultation Paper,PDF,46,,2026-05-24,34511eeafc55d53215be87beaa0be92e363c536c98f19ffa5e91473441f1c1ce,title:filename; type:filename,Tier 1,CC BY 4.0,https://asic.gov.au/copyright,yes — © Australian Securities & Investments Commission: Reproduced with permission.,clear,"Applies only to the 10 specified document classes: regulatory guides, information sheets, reports, consultation papers, media releases, legislative instruments, pro forma documents, ASIC forms (without logo), annual reports, and short selling position data; ASIC logo, design, and formatting excluded from licence — express approval required; Unclaimed Money pages excluded (personal use only); Certain ASIC Digest sections (executive summaries, indexes) excluded; Thomson Reuters co-published materials subject to separate IP rights",FALSE,FALSE
Australia,Australian Securities and Investments Commission (ASIC),ASIC,CP 381 Updates to INFO225 Digital Assets,Consultation Paper,PDF,28,,2026-05-24,abc9007e907ef318dba6087d2a4420c41bfde9da81dbf92d46f44dcecc57647f,title:filename; type:filename,Tier 1,CC BY 4.0,https://asic.gov.au/copyright,yes — © Australian Securities & Investments Commission: Reproduced with permission.,clear,"Applies only to the 10 specified document classes: regulatory guides, information sheets, reports, consultation papers, media releases, legislative instruments, pro forma documents, ASIC forms (without logo), annual reports, and short selling position data; ASIC logo, design, and formatting excluded from licence — express approval required; Unclaimed Money pages excluded (personal use only); Certain ASIC Digest sections (executive summaries, indexes) excluded; Thomson Reuters co-published materials subject to separate IP rights",FALSE,FALSE
Australia,Australian Securities and Investments Commission (ASIC),ASIC,RG 105 AFS Organisational Competence,Regulatory Guide,PDF,36,,2026-05-24,09d4b93e8abbf71ec7b4aeca649d19ed6fad19a01734e7a7f82a5bdf4081e77e,title:filename; type:filename,Tier 1,CC BY 4.0,https://asic.gov.au/copyright,yes — © Australian Securities & Investments Commission: Reproduced with permission.,clear,"Applies only to the 10 specified document classes: regulatory guides, information sheets, reports, consultation papers, media releases, legislative instruments, pro forma documents, ASIC forms (without logo), annual reports, and short selling position data; ASIC logo, design, and formatting excluded from licence — express approval required; Unclaimed Money pages excluded (personal use only); Certain ASIC Digest sections (executive summaries, indexes) excluded; Thomson Reuters co-published materials subject to separate IP rights",FALSE,FALSE
Australia,Australian Securities and Investments Commission (ASIC),ASIC,RG 175 AFS Financial Product Advisers,Regulatory Guide,PDF,103,,2026-05-24,08ca9d4915fa93b02532b939851dfdb9bc0f3a450249a27be59c60a39afb2dcd,title:filename; type:filename,Tier 1,CC BY 4.0,https://asic.gov.au/copyright,yes — © Australian Securities & Investments Commission: Reproduced with permission.,clear,"Applies only to the 10 specified document classes: regulatory guides, information sheets, reports, consultation papers, media releases, legislative instruments, pro forma documents, ASIC forms (without logo), annual reports, and short selling position data; ASIC logo, design, and formatting excluded from licence — express approval required; Unclaimed Money pages excluded (personal use only); Certain ASIC Digest sections (executive summaries, indexes) excluded; Thomson Reuters co-published materials subject to separate IP rights",FALSE,FALSE
Australia,Australian Securities and Investments Commission (ASIC),ASIC,RG 1 Applying for AFS Licence,Regulatory Guide,PDF,67,,2026-05-24,8885979388bc0a2929a8c67934f89a339ea1b7a329252de46bb4a1b455ffe9a9,title:filename; type:filename,Tier 1,CC BY 4.0,https://asic.gov.au/copyright,yes — © Australian Securities & Investments Commission: Reproduced with permission.,clear,"Applies only to the 10 specified document classes: regulatory guides, information sheets, reports, consultation papers, media releases, legislative instruments, pro forma documents, ASIC forms (without logo), annual reports, and short selling position data; ASIC logo, design, and formatting excluded from licence — express approval required; Unclaimed Money pages excluded (personal use only); Certain ASIC Digest sections (executive summaries, indexes) excluded; Thomson Reuters co-published materials subject to separate IP rights",FALSE,FALSE
Australia,Australian Securities and Investments Commission (ASIC),ASIC,RG 271 Internal Dispute Resolution,Regulatory Guide,PDF,57,,2026-05-24,a3ab42a235957b53f67e37558558b67b93b46d57fb05146dac021b7c3d658b58,title:filename; type:filename,Tier 1,CC BY 4.0,https://asic.gov.au/copyright,yes — © Australian Securities & Investments Commission: Reproduced with permission.,clear,"Applies only to the 10 specified document classes: regulatory guides, information sheets, reports, consultation papers, media releases, legislative instruments, pro forma documents, ASIC forms (without logo), annual reports, and short selling position data; ASIC logo, design, and formatting excluded from licence — express approval required; Unclaimed Money pages excluded (personal use only); Certain ASIC Digest sections (executive summaries, indexes) excluded; Thomson Reuters co-published materials subject to separate IP rights",FALSE,FALSE
Australia,Australian Securities and Investments Commission (ASIC),ASIC,RG 282 Exchange Traded Products,Regulatory Guide,PDF,60,,2026-05-24,0f9405790995711f91de528b3f5acfc6677d02d86b11e5f281347f9c87ec59ce,title:filename; type:filename,Tier 1,CC BY 4.0,https://asic.gov.au/copyright,yes — © Australian Securities & Investments Commission: Reproduced with permission.,clear,"Applies only to the 10 specified document classes: regulatory guides, information sheets, reports, consultation papers, media releases, legislative instruments, pro forma documents, ASIC forms (without logo), annual reports, and short selling position data; ASIC logo, design, and formatting excluded from licence — express approval required; Unclaimed Money pages excluded (personal use only); Certain ASIC Digest sections (executive summaries, indexes) excluded; Thomson Reuters co-published materials subject to separate IP rights",FALSE,FALSE
Australia,Australian Securities and Investments Commission (ASIC),ASIC,RG 78 Breach Reporting,Regulatory Guide,PDF,79,,2026-05-24,4ce2b2512e4aace5bdb9c4134cafbcf1b39a7ab0801bec6a609ddab81ecbd775,title:filename; type:filename,Tier 1,CC BY 4.0,https://asic.gov.au/copyright,yes — © Australian Securities & Investments Commission: Reproduced with permission.,clear,"Applies only to the 10 specified document classes: regulatory guides, information sheets, reports, consultation papers, media releases, legislative instruments, pro forma documents, ASIC forms (without logo), annual reports, and short selling position data; ASIC logo, design, and formatting excluded from licence — express approval required; Unclaimed Money pages excluded (personal use only); Certain ASIC Digest sections (executive summaries, indexes) excluded; Thomson Reuters co-published materials subject to separate IP rights",FALSE,FALSE
Australia,Australian Taxation Office (ATO),ATO,Businesses,ATO web guidance,PDF,16,,2026-05-24,a2a57a1ee256385c16e65d3a92db5da62e6622108bf2518ef8857fb2c9130ed9,title:filename; type:body-default,Tier 1,"ATO Copyright Notice (permissive free-to-distribute statement; functionally equivalent to a CC BY-style open licence, but not formally named CC BY)",https://www.ato.gov.au/copyright,yes_general,clear,"Must not redistribute in any way that suggests the ATO or the Commonwealth endorses the redistributor or any of their services or products (no-endorsement clause).; The ATO does not name a specific licence (e.g., CC BY 4.0); the permission is granted directly by the copyright notice itself.; Notice is dated 'Last updated 27 August 2012' — applies broadly to ato.gov.au material; third-party content embedded in ATO pages may have separate rights.",FALSE,FALSE
Australia,Australian Taxation Office (ATO),ATO,advice under development program,ATO web guidance,PDF,34,,2026-05-24,bab9bcdb09e99b2d86c60195e9b36154e0beff54c60b7d8db4f12813e9ccf9da,title:filename; type:body-default,Tier 1,"ATO Copyright Notice (permissive free-to-distribute statement; functionally equivalent to a CC BY-style open licence, but not formally named CC BY)",https://www.ato.gov.au/copyright,yes_general,clear,"Must not redistribute in any way that suggests the ATO or the Commonwealth endorses the redistributor or any of their services or products (no-endorsement clause).; The ATO does not name a specific licence (e.g., CC BY 4.0); the permission is granted directly by the copyright notice itself.; Notice is dated 'Last updated 27 August 2012' — applies broadly to ato.gov.au material; third-party content embedded in ATO pages may have separate rights.",FALSE,FALSE
Australia,Australian Taxation Office (ATO),ATO,ato charter,ATO web guidance,PDF,23,,2026-05-24,16dd40040118f89e4ce5809b913952b8c8d3acc38728fa7fcbbd4f5a47560342,title:filename; type:body-default,Tier 1,"ATO Copyright Notice (permissive free-to-distribute statement; functionally equivalent to a CC BY-style open licence, but not formally named CC BY)",https://www.ato.gov.au/copyright,yes_general,clear,"Must not redistribute in any way that suggests the ATO or the Commonwealth endorses the redistributor or any of their services or products (no-endorsement clause).; The ATO does not name a specific licence (e.g., CC BY 4.0); the permission is granted directly by the copyright notice itself.; Notice is dated 'Last updated 27 August 2012' — applies broadly to ato.gov.au material; third-party content embedded in ATO pages may have separate rights.",FALSE,FALSE
Australia,Australian Taxation Office (ATO),ATO,new legislation,ATO web guidance,PDF,20,,2026-05-24,196b79af6b1258fcf836303aae3de05fb323510883d8d61073cdcb2e3ad713b2,title:filename; type:body-default,Tier 1,"ATO Copyright Notice (permissive free-to-distribute statement; functionally equivalent to a CC BY-style open licence, but not formally named CC BY)",https://www.ato.gov.au/copyright,yes_general,clear,"Must not redistribute in any way that suggests the ATO or the Commonwealth endorses the redistributor or any of their services or products (no-endorsement clause).; The ATO does not name a specific licence (e.g., CC BY 4.0); the permission is granted directly by the copyright notice itself.; Notice is dated 'Last updated 27 August 2012' — applies broadly to ato.gov.au material; third-party content embedded in ATO pages may have separate rights.",FALSE,FALSE
Australia,Australian Taxation Office (ATO),ATO,smsf regulation and compliance,ATO web guidance,PDF,4,,2026-05-24,e8eb77d196495599e0676bb5044106ab9222fca20e5670ceef6097a33fce239a,title:filename; type:body-default,Tier 1,"ATO Copyright Notice (permissive free-to-distribute statement; functionally equivalent to a CC BY-style open licence, but not formally named CC BY)",https://www.ato.gov.au/copyright,yes_general,clear,"Must not redistribute in any way that suggests the ATO or the Commonwealth endorses the redistributor or any of their services or products (no-endorsement clause).; The ATO does not name a specific licence (e.g., CC BY 4.0); the permission is granted directly by the copyright notice itself.; Notice is dated 'Last updated 27 August 2012' — applies broadly to ato.gov.au material; third-party content embedded in ATO pages may have separate rights.",FALSE,FALSE
Australia,Australian Transaction Reports and Analysis Centre (AUSTRAC),AUSTRAC,AML CTF compliance officers,AUSTRAC factsheet,PDF,3,,2026-05-24,d19fc6cbca46442567ff4368a90fd05bbf91d8dd37627956651344819051b17d,title:filename; type:body-default,Tier 1,Creative Commons (version unspecified on page; consistent with CC BY per standard Commonwealth practice),https://www.austrac.gov.au/copyright,yes — © AUSTRAC for the Commonwealth of Australia 2019,clear,"AUSTRAC logo excluded from the licence; Commonwealth Coat of Arms excluded (use governed by PM&C guidelines); Third-party-owned content excluded — permission may be needed from the third-party copyright owner; Must not use material in a way that suggests AUSTRAC or the Australian Government endorses you or your products/services; Specific Creative Commons version (e.g., CC BY 4.0) is not named on the copyright page itself",FALSE,TRUE
Australia,Australian Transaction Reports and Analysis Centre (AUSTRAC),AUSTRAC,AML CTF programs,AUSTRAC factsheet,PDF,6,,2026-05-24,ce12520637b9911d070ecb9953ca87ce7bef754a1353a89fdc46d0630d6d68ca,title:filename; type:body-default,Tier 1,Creative Commons (version unspecified on page; consistent with CC BY per standard Commonwealth practice),https://www.austrac.gov.au/copyright,yes — © AUSTRAC for the Commonwealth of Australia 2019,clear,"AUSTRAC logo excluded from the licence; Commonwealth Coat of Arms excluded (use governed by PM&C guidelines); Third-party-owned content excluded — permission may be needed from the third-party copyright owner; Must not use material in a way that suggests AUSTRAC or the Australian Government endorses you or your products/services; Specific Creative Commons version (e.g., CC BY 4.0) is not named on the copyright page itself",FALSE,TRUE
Australia,Australian Transaction Reports and Analysis Centre (AUSTRAC),AUSTRAC,AML rules 2007,AML/CTF Rules,PDF,374,,2026-05-24,86b8c938e66f203a0b9849f4170dbebdd5a8cba7810246af82dbf94a00a5bed3,title:filename; type:header,Tier 1,Creative Commons (version unspecified on page; consistent with CC BY per standard Commonwealth practice),https://www.austrac.gov.au/copyright,yes — © AUSTRAC for the Commonwealth of Australia 2019,clear,"AUSTRAC logo excluded from the licence; Commonwealth Coat of Arms excluded (use governed by PM&C guidelines); Third-party-owned content excluded — permission may be needed from the third-party copyright owner; Must not use material in a way that suggests AUSTRAC or the Australian Government endorses you or your products/services; Specific Creative Commons version (e.g., CC BY 4.0) is not named on the copyright page itself",FALSE,TRUE
Australia,Australian Transaction Reports and Analysis Centre (AUSTRAC),AUSTRAC,AUSTRAC compliance reports,AUSTRAC factsheet,PDF,5,,2026-05-24,c48f803ed612f2f960f1ddc8d719d2d3a9a645d2401d0eff1993edd02aa10692,title:filename; type:body-default,Tier 1,Creative Commons (version unspecified on page; consistent with CC BY per standard Commonwealth practice),https://www.austrac.gov.au/copyright,yes — © AUSTRAC for the Commonwealth of Australia 2019,clear,"AUSTRAC logo excluded from the licence; Commonwealth Coat of Arms excluded (use governed by PM&C guidelines); Third-party-owned content excluded — permission may be needed from the third-party copyright owner; Must not use material in a way that suggests AUSTRAC or the Australian Government endorses you or your products/services; Specific Creative Commons version (e.g., CC BY 4.0) is not named on the copyright page itself",FALSE,TRUE
Australia,Australian Transaction Reports and Analysis Centre (AUSTRAC),AUSTRAC,Anti-Money Laundering act 2006,AUSTRAC factsheet,PDF,402,,2026-05-24,254ca2d92d19618094122188265a9d31f91b5ef8e052c8f187e0c6995db8fbda,title:filename; type:body-default,Tier 1,Creative Commons (version unspecified on page; consistent with CC BY per standard Commonwealth practice),https://www.austrac.gov.au/copyright,yes — © AUSTRAC for the Commonwealth of Australia 2019,clear,"AUSTRAC logo excluded from the licence; Commonwealth Coat of Arms excluded (use governed by PM&C guidelines); Third-party-owned content excluded — permission may be needed from the third-party copyright owner; Must not use material in a way that suggests AUSTRAC or the Australian Government endorses you or your products/services; Specific Creative Commons version (e.g., CC BY 4.0) is not named on the copyright page itself",FALSE,TRUE
Australia,Australian Transaction Reports and Analysis Centre (AUSTRAC),AUSTRAC,Assisting customers who 1,AUSTRAC factsheet,PDF,25,,2026-05-24,112fa90cf20717e5456f9e72e886a739f1b3644c71ae709e225e5d7bdacdca88,title:filename; type:body-default,Tier 1,Creative Commons (version unspecified on page; consistent with CC BY per standard Commonwealth practice),https://www.austrac.gov.au/copyright,yes — © AUSTRAC for the Commonwealth of Australia 2019,clear,"AUSTRAC logo excluded from the licence; Commonwealth Coat of Arms excluded (use governed by PM&C guidelines); Third-party-owned content excluded — permission may be needed from the third-party copyright owner; Must not use material in a way that suggests AUSTRAC or the Australian Government endorses you or your products/services; Specific Creative Commons version (e.g., CC BY 4.0) is not named on the copyright page itself",FALSE,TRUE
Australia,Australian Transaction Reports and Analysis Centre (AUSTRAC),AUSTRAC,Assisting customers who don’t have standard forms of identification (clean version),AUSTRAC factsheet,PDF,22,,2026-05-24,c834c8ba9678378a3890f0b4090446ab09b6e5692a47580b5baa6ea91fe4ee42,title:filename; type:body-default,Tier 1,Creative Commons (version unspecified on page; consistent with CC BY per standard Commonwealth practice),https://www.austrac.gov.au/copyright,yes — © AUSTRAC for the Commonwealth of Australia 2019,clear,"AUSTRAC logo excluded from the licence; Commonwealth Coat of Arms excluded (use governed by PM&C guidelines); Third-party-owned content excluded — permission may be needed from the third-party copyright owner; Must not use material in a way that suggests AUSTRAC or the Australian Government endorses you or your products/services; Specific Creative Commons version (e.g., CC BY 4.0) is not named on the copyright page itself",FALSE,TRUE
